timestamp,af,al,aposm,aposw,arf,bf,bl,bposm,bposw,brf,cf,cl,cposm,cposw,cs,ctemp,sl,rf,atime,ctime,yltime,estop,pltnum,concentration,cooltemp,avail,d1_asset_chg,d1_asset_rem,functionalmode,door,pf,Sovr,exec,ln,mode,pc,pcmt,peditmode,peditname,pfo,pfr,pgm,seq,spcmt,spgm,tid,tid2,tid3,unit,xf,xl,xpm,xpw,yf,yl,ypm,ypw,zf,zl,zpm,zpw,
2023-07-24T14:55:42.017226Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/USR/OPT/POCKETNC/SETTINGS/SUBROUTINES/429REMAP.NGC,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:55:42.427593Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/USR/OPT/POCKETNC/SETTINGS/SUBROUTINES/TOOL-PROBE.NGC,,,,,,,,,,,,,,,,,,,,
2023-07-24T14:56:06.498315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/SYSROOT/HOME/POCKETNC/NCFILES/SPIRAL,PART.NGC",,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547741Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.548134Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547647Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,,
2023-07-24T14:54:30.547715Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,,
2023-07-24T14:54:30.548116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,,
2023-07-24T14:54:30.54792Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,,
2023-07-24T14:54:30.547943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,,
2023-07-24T14:54:30.548075Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNAVAILABLE,,,,,,,,,,
2023-07-24T14:55:42.728164Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4945,,,,,,,,,,
2023-07-24T14:55:42.786114Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4628,,,,,,,,,,
2023-07-24T14:55:42.840133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4243,,,,,,,,,,
2023-07-24T14:55:42.898178Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.377,,,,,,,,,,
2023-07-24T14:55:42.948352Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.318,,,,,,,,,,
2023-07-24T14:55:43.00217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.266,,,,,,,,,,
2023-07-24T14:55:43.047148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.218,,,,,,,,,,
2023-07-24T14:55:43.112217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.176,,,,,,,,,,
2023-07-24T14:55:43.16751Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.112,,,,,,,,,,
2023-07-24T14:55:43.226389Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035,,,,,,,,,,
2023-07-24T14:55:43.280191Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.983,,,,,,,,,,
2023-07-24T14:55:43.338561Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.934,,,,,,,,,,
2023-07-24T14:55:43.394147Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906,,,,,,,,,,
2023-07-24T14:55:43.446423Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.823,,,,,,,,,,
