a,b,x,y,z
0,87.279,-0.4758,0,0.1007
0,87.454,-0.476,0,0.0992
0,87.629,-0.4763,0,0.0978
0,87.804,-0.4766,0,0.0963
0,87.98,-0.4768,0,0.0949
0,88.33,-0.4774,0,0.092
0,88.679,-0.4779,0,0.089
0,89.029,-0.4785,0,0.0861
0,89.378,-0.479,0,0.0832
0,89.726,-0.4796,0,0.0803
0,90.074,-0.4801,0,0.0774
0,93.421,-0.4838,0,0.0492
0,96.774,-0.4858,0,0.0208
0,99.852,-0.4863,0,-0.0053
0,102.927,-0.4853,0,-0.0314
0,105.496,-0.4833,0,-0.0531
0,107.671,-0.481,0,-0.0714
0,110.467,-0.477,0,-0.0948
0,113.565,-0.4711,0,-0.1204
0,115.521,-0.4667,0,-0.1364
0,118.291,-0.4596,0,-0.1588
0,121.659,-0.4495,0,-0.1855
0,125.022,-0.4378,0,-0.2116
0,127.017,-0.4301,0,-0.2266
0,129.202,-0.4213,0,-0.2429
0,132.299,-0.4075,0,-0.2653
0,134.805,-0.3955,0,-0.2829
0,137.318,-0.3827,0,-0.3
0,139.836,-0.3692,0,-0.3165
0,142.353,-0.355,0,-0.3324
0,144.863,-0.34,0,-0.3476
0,147.656,-0.3227,0,-0.3638
0,150.48,-0.3044,0,-0.3792
0,152.669,-0.2897,0,-0.3906
0,155.171,-0.2723,0,-0.4028
0,157.929,-0.2526,0,-0.4155
0,160.444,-0.2342,0,-0.4262
0,163.223,-0.2132,0,-0.4371
0,165.472,-0.1959,0,-0.445
0,167.964,-0.1764,0,-0.4532
0,170.768,-0.154,0,-0.4613
0,173.822,-0.1292,0,-0.4688
0,176.899,-0.1038,0,-0.4751
0,179.986,-0.0781,0,-0.48
0,183.324,-0.05,0,-0.4837
0,186.664,-0.0218,0,-0.4858
0,190,0.0065,0,-0.4863
0,192.811,0.0304,0,-0.4853
0,195.314,0.0515,0,-0.4836
0,197.821,0.0726,0,-0.4808
0,200.329,0.0936,0,-0.4772
0,202.841,0.1144,0,-0.4726
0,205.365,0.1351,0,-0.4671
0,208.157,0.1577,0,-0.46
0,211.233,0.1822,0,-0.4509
